SBID,CRVAL1,CRVAL2,label_0_count_filtered_int,label_1_count_filtered_int,label_2_count_filtered_int,label_3_count_filtered_int,label_0_count_filtered_res,label_1_count_filtered_res,label_2_count_filtered_res,label_3_count_filtered_res,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb,,name,sb,ra_min_hms,ra_max_hms,dec_min_dms,dec_max_dms,ra_min_deg,ra_max_deg,dec_min_deg,dec_max_deg,SBID,label_0_count_maskb,label_1_count_maskb,label_2_count_maskb,label_3_count_maskb
20173,238.84615,41.87635833,216,676,1188,196,398,291,835,191,processed_wcs_20173.csv,266,425,1516,150,,image.i.RACS_1555+41.SB20173.cont.taylor.0.restored.conv.fits,SB20173,35:19.0,16:01.6,+38:41:27.704,+44:41:46.031,233.8292879,244.006842,38.69102879,44.6961197,processed_wcs_20173.csv,266,425,1516,150
20174,243.75,46.50041028,91,36,1437,69,122,31,1263,77,processed_wcs_20174.csv,139,13,1479,66,,image.i.RACS_1614+46.SB20174.cont.taylor.0.restored.conv.fits,SB20174,53:07.1,37:30.1,+43:17:54.587,+49:18:03.160,238.2797414,249.3752316,43.2984964,49.30087781,processed_wcs_20174.csv,139,13,1479,66
20175,251.25,46.50041028,95,27,1472,50,111,36,1360,55,processed_wcs_20175.csv,163,10,1632,71,,image.i.RACS_1644+46.SB20175.cont.taylor.0.restored.conv.fits,SB20175,23:07.1,07:30.3,+43:17:54.459,+49:18:03.160,245.7797414,256.876083,43.29846087,49.30087781,processed_wcs_20175.csv,163,10,1632,71
20176,252.6923042,41.87635833,225,343,1244,227,329,169,882,191,processed_wcs_20176.csv,290,248,1480,160,,image.i.RACS_1650+41.SB20176.cont.taylor.0.restored.conv.fits,SB20176,30:42.3,11:24.5,+38:41:27.813,+44:41:44.149,247.676272,257.8521649,38.69105928,44.695597,processed_wcs_20176.csv,290,248,1480,160
20210,183.4615375,41.87635833,134,481,1498,164,350,229,719,204,processed_wcs_20210.csv,496,170,1084,135,,image.i.RACS_1213+41.SB20210.cont.taylor.0.restored.conv.fits,SB20210,53:48.6,34:28.9,+38:41:29.923,+44:41:45.202,178.4525408,188.6206166,38.69164539,44.69588957,processed_wcs_20210.csv,496,170,1084,135
20211,197.3076917,41.87635833,119,475,1401,176,309,243,598,259,processed_wcs_20211.csv,478,273,1125,153,,image.i.RACS_1309+41.SB20211.cont.taylor.0.restored.conv.fits,SB20211,49:12.3,29:49.2,+38:41:37.568,+44:41:43.554,192.3010883,202.4549966,38.69376898,44.69543177,processed_wcs_20211.csv,478,273,1125,153
20212,204.2307667,41.87635833,92,407,1265,163,264,197,555,219,processed_wcs_20212.csv,401,237,1049,153,,image.i.RACS_1336+41.SB20212.cont.taylor.0.restored.conv.fits,SB20212,16:53.5,57:30.7,+38:41:31.567,+44:41:33.326,199.2228405,209.3778243,38.69210208,44.69259068,processed_wcs_20212.csv,401,237,1049,153
20213,211.1538458,41.87635833,151,488,1303,148,333,245,632,184,processed_wcs_20213.csv,457,268,1143,107,,image.i.RACS_1404+41.SB20213.cont.taylor.0.restored.conv.fits,SB20213,44:35.5,25:11.9,+38:41:35.678,+44:41:17.570,206.1478679,216.2997262,38.69324376,44.68821381,processed_wcs_20213.csv,457,268,1143,107
20226,257.1428542,-60.32171389,245,3767,25,317,270,3649,32,313,processed_wcs_20226.csv,302,3729,50,349,,image.i.RACS_1708-60.SB20226.cont.taylor.0.restored.conv.fits,SB20226,36:57.3,41:12.4,-63:11:50.825,-57:12:42.038,249.2388063,265.3017155,-63.19745144,-57.2116771,processed_wcs_20226.csv,302,3729,50,349
20228,256.5,-55.72483611,281,3731,10,341,319,3560,27,321,processed_wcs_20228.csv,348,3648,38,367,,image.i.RACS_1706-55.SB20228.cont.taylor.0.restored.conv.fits,SB20228,38:37.0,34:13.6,-58:38:15.476,-52:38:37.942,249.6541486,263.5565313,-58.63763228,-52.64387287,processed_wcs_20228.csv,348,3648,38,367
