SBID,label_0_count,label_1_count,label_2_count,label_3_count
21405.csv,624,4145,137,475
21472.csv,593,4269,108,449
21497.csv,662,4780,123,527
21503.csv,702,4895,147,541
21591.csv,424,4815,47,580
21843.csv,686,4747,163,445
21932.csv,736,3798,215,426
22036.csv,536,4734,95,521
21834.csv,724,5037,197,575
22672.csv,168,560,2457,272
22041.csv,556,4455,164,541
23100.csv,627,4193,154,459
23177.csv,918,3213,331,345
25468.csv,305,186,2679,91
33098.csv,792,4366,243,398
37725.csv,382,5205,65,590
20166.csv,292,646,2986,288
20339.csv,235,4091,126,679
20598.csv,434,4480,72,552
20624.csv,239,4467,78,579
20653.csv,418,2791,1095,533
20722.csv,358,3969,182,568
20755.csv,270,4411,30,527
21050.csv,841,4331,208,452
21156.csv,812,4687,182,447
21663.csv,617,4810,117,477
21686.csv,577,4484,83,458
21765.csv,539,4448,54,432
21999.csv,746,3905,209,444
22356.csv,563,4192,168,498
22463.csv,556,5071,114,571
22486.csv,777,3784,224,340
22565.csv,968,4178,305,456
23862.csv,742,5464,146,543
25451.csv,285,123,2569,116
20169.csv,301,475,3021,232
20336.csv,270,4098,148,698
20341.csv,210,4025,122,511
20403.csv,570,5013,89,590
20474.csv,284,4464,146,575
20505.csv,616,2444,749,519
20572.csv,535,4847,121,549
20597.csv,397,4728,49,650
20832.csv,520,4733,92,644
20845.csv,300,4585,42,619
21200.csv,393,4647,23,548
21292.csv,326,4148,39,551
21394.csv,739,4185,236,356
21433.csv,278,5015,58,648
21444.csv,953,4177,269,345
21542.csv,1058,3700,297,339
21689.csv,634,4203,112,427
21890.csv,442,5116,77,594
21973.csv,491,4304,74,513
21875.csv,421,3655,285,375
21904.csv,665,4825,146,460
21996.csv,421,3364,206,386
22000.csv,743,4747,143,447
24631.csv,168,3795,153,743
25707.csv,256,458,2335,198
29379.csv,771,3903,197,373
20150.csv,596,4706,79,491
20378.csv,208,3918,176,637
20612.csv,357,2612,930,560
20665.csv,169,4271,163,709
20680.csv,360,3745,158,552
20714.csv,292,4102,162,686
20763.csv,444,4380,64,464
20786.csv,283,4179,79,565
20899.csv,543,4713,79,545
21066.csv,801,3531,260,339
21083.csv,265,4762,41,604
21498.csv,708,5025,138,529
21622.csv,326,4445,36,561
21655.csv,750,4308,184,421
21753.csv,757,4642,141,414
22524.csv,437,5166,55,679
22039.csv,504,4508,79,479
22148.csv,427,5165,67,597
22455.csv,547,4910,97,526
22881.csv,619,1425,112,207
23178.csv,1401,2951,514,297
23925.csv,755,4801,129,549
25467.csv,241,93,2577,114
29340.csv,681,4399,178,535
29573.csv,426,4120,87,515
41554.csv,632,4399,136,456
20273.csv,453,4867,110,593
20296.csv,559,2414,977,482
20375.csv,313,3009,796,544
20390.csv,523,3519,349,567
20437.csv,343,4885,76,641
20440.csv,341,4200,212,518
20531.csv,284,4490,76,551
20668.csv,242,4221,58,597
20719.csv,528,2863,854,547
20806.csv,301,4560,39,577
20894.csv,330,4971,56,570
20900.csv,607,4470,89,547
21332.csv,776,4443,239,494
21407.csv,735,4174,125,464
21470.csv,552,4713,81,488
21495.csv,775,4541,129,460
21501.csv,810,5115,250,534
21593.csv,471,4883,72,590
21658.csv,665,4174,154,400
21947.csv,730,4628,178,435
21841.csv,727,4790,217,506
21930.csv,817,4149,259,417
22043.csv,613,4528,120,452
22145.csv,999,4395,371,442
22034.csv,508,4846,94,681
22529.csv,506,5462,61,664
21836.csv,684,4302,158,441
22458.csv,426,4822,76,518
23175.csv,869,3536,217,414
33326.csv,779,4228,203,396
41135.csv,781,4155,126,430
20164.csv,196,1765,2086,442
20479.csv,228,1920,1883,548
20651.csv,248,1561,1774,354
20720.csv,257,3913,161,554
20757.csv,269,4263,51,576
20848.csv,246,4345,42,584
21052.csv,764,4296,238,451
21154.csv,736,4178,228,368
21399.csv,385,4295,47,555
21449.csv,728,4094,200,406
21616.csv,579,4674,102,449
21661.csv,845,4518,147,467
21684.csv,629,4331,102,461
21710.csv,294,4294,38,476
21767.csv,239,3550,92,365
21878.csv,698,4166,292,425
21909.csv,617,4490,110,572
22354.csv,659,4317,203,506
22461.csv,843,4376,198,451
22484.csv,899,3944,251,363
22323.csv,496,4743,62,476
22649.csv,178,599,2449,304
25453.csv,302,165,2569,143
20334.csv,697,4638,138,447
20343.csv,232,4490,84,586
20401.csv,468,4999,54,486
20476.csv,258,4227,56,604
20493.csv,281,4175,186,600
20507.csv,316,4122,88,529
20570.csv,635,4516,143,534
20595.csv,344,2914,848,574
20629.csv,326,4470,48,662
20758.csv,342,4385,21,580
20830.csv,368,4373,59,438
20847.csv,241,4842,35,592
21373.csv,719,4780,142,474
21396.csv,646,4522,144,488
21431.csv,338,4990,28,552
21446.csv,826,3971,326,370
21540.csv,632,3549,128,411
21619.csv,553,4142,64,418
