SBID,label_0_count,label_1_count,label_2_count,label_3_count
21497.csv,622,4370,97,452
21503.csv,640,4413,121,512
21591.csv,462,4483,44,568
21834.csv,702,4664,159,502
21843.csv,654,4364,117,426
22036.csv,552,4318,74,500
22672.csv,129,274,1845,437
23177.csv,618,3058,260,327
22041.csv,561,4070,156,481
33098.csv,644,4044,202,394
37725.csv,390,4862,70,586
25468.csv,174,134,2213,516
21932.csv,506,3542,181,418
23100.csv,497,3900,132,386
20166.csv,284,454,2154,479
20339.csv,395,3261,102,733
20598.csv,369,4062,77,561
20624.csv,257,3775,75,605
20653.csv,774,2001,617,531
20722.csv,674,3076,180,591
20755.csv,280,3996,42,537
21050.csv,700,4042,166,407
21156.csv,627,4392,150,424
21663.csv,597,4287,156,418
21686.csv,581,4118,71,416
21765.csv,433,4133,66,408
22356.csv,566,3721,163,418
22463.csv,548,4638,110,548
21999.csv,633,3614,163,377
25451.csv,159,116,2039,405
22565.csv,782,3843,215,417
22486.csv,603,3467,161,372
23862.csv,741,4991,108,492
20169.csv,219,281,2323,592
20336.csv,443,3331,130,714
20341.csv,365,3306,98,539
20403.csv,607,4656,93,528
20474.csv,485,3603,124,610
20505.csv,811,1983,566,533
20572.csv,519,4549,93,497
20597.csv,361,4322,47,628
20832.csv,436,4298,75,579
20845.csv,309,4071,66,638
21200.csv,394,4358,38,543
21292.csv,300,3888,54,523
21394.csv,576,3855,211,336
21433.csv,349,4589,52,622
21444.csv,727,3894,202,325
21542.csv,754,3492,256,336
21689.csv,632,3818,99,381
21875.csv,353,3031,252,377
21890.csv,438,4828,63,577
21904.csv,689,4402,105,404
21996.csv,339,2810,152,417
24631.csv,193,3135,119,735
22000.csv,685,4397,95,375
25707.csv,288,294,1491,460
29379.csv,617,3671,165,326
21973.csv,508,3968,81,439
20150.csv,620,4345,83,419
20378.csv,436,2960,156,717
20612.csv,745,1853,461,613
20665.csv,417,3195,177,781
20680.csv,627,3047,114,602
20714.csv,513,3253,78,740
20763.csv,380,4011,85,432
20786.csv,436,3596,103,542
20899.csv,554,4417,75,506
21066.csv,613,3362,195,312
21083.csv,290,4346,38,626
21498.csv,666,4604,139,454
21622.csv,275,4121,48,540
21655.csv,592,3960,148,408
21753.csv,658,4230,129,392
22039.csv,549,4132,75,450
22881.csv,391,1328,99,157
23178.csv,811,2842,462,235
22524.csv,384,4760,61,708
22148.csv,455,4816,59,589
25467.csv,151,114,1868,408
22455.csv,569,4503,68,500
23925.csv,709,4398,106,475
29340.csv,645,4069,139,474
29573.csv,347,3854,71,511
41554.csv,560,4024,118,464
20273.csv,472,4533,115,531
20296.csv,653,1838,874,396
20375.csv,697,2243,336,650
20390.csv,791,2655,199,598
20437.csv,372,4552,83,607
20440.csv,316,3727,225,488
20531.csv,317,3884,66,580
20668.csv,362,3731,68,574
20719.csv,924,2123,562,573
20806.csv,306,4180,46,537
20894.csv,351,4667,47,573
20900.csv,642,4149,92,481
21332.csv,667,4073,183,465
21407.csv,535,3845,134,434
21470.csv,436,4438,96,450
21495.csv,708,4127,132,415
21501.csv,765,4725,201,481
21593.csv,491,4530,66,590
21658.csv,613,3824,102,366
21836.csv,661,3910,124,400
21841.csv,678,4426,157,446
22034.csv,510,4595,109,614
22145.csv,801,4098,278,427
22458.csv,420,4436,84,502
21930.csv,641,3858,267,377
21947.csv,715,4209,134,436
23175.csv,570,3255,151,374
41135.csv,727,3824,119,410
33326.csv,564,3921,235,348
22043.csv,608,4179,92,421
22529.csv,479,4954,75,659
20164.csv,553,935,1308,526
20479.csv,504,1062,1139,769
20651.csv,468,1023,1218,465
20720.csv,585,2977,154,587
20757.csv,262,3818,60,615
20848.csv,247,3922,51,618
21052.csv,663,3936,186,393
21154.csv,640,3901,180,337
21399.csv,327,4055,43,534
21449.csv,504,3805,202,378
21616.csv,473,4199,105,414
21661.csv,748,4160,157,418
21684.csv,645,3923,109,387
21710.csv,279,4027,54,443
21767.csv,205,2841,88,398
21878.csv,557,3953,215,408
21909.csv,666,4121,109,480
22323.csv,502,4463,54,455
22354.csv,662,3932,215,440
22461.csv,696,3916,151,454
22484.csv,731,3622,197,316
22649.csv,157,312,1585,561
25453.csv,182,129,2065,461
20334.csv,493,4354,100,447
20343.csv,256,3733,82,604
20401.csv,465,4681,60,469
20476.csv,294,3747,50,586
20493.csv,561,3125,149,665
20507.csv,490,3414,86,527
20570.csv,618,4229,133,442
20595.csv,718,2170,378,596
20629.csv,307,4079,46,631
20758.csv,340,3928,28,578
20830.csv,351,3987,45,436
20847.csv,275,4258,32,630
21373.csv,658,4417,140,451
21396.csv,479,4166,142,417
21431.csv,348,4662,32,580
21446.csv,611,3700,273,364
21540.csv,451,3254,142,376
21619.csv,372,3838,94,387
21768.csv,552,3411,218,341
21877.csv,630,3770,247,431
21892.csv,586,4897,121,589
21906.csv,683,4621,103,483
21971.csv,604,4619,76,520
24633.csv,280,3463,81,624
41469.csv,259,3701,244,638
20152.csv,246,290,1720,551
20299.csv,695,1883,880,464
20438.csv,221,3623,222,588
20610.csv,504,884,1177,588
20667.csv,277,4010,79,643
20682.csv,629,3066,163,627
20716.csv,783,2411,508,743
20761.csv,355,4079,43,586
20784.csv,783,3009,352,521
20809.csv,292,4220,41,613
21064.csv,630,3745,233,366
21408.csv,463,4418,94,493
21620.csv,387,3861,61,425
21657.csv,657,3868,136,390
21751.csv,744,4245,153,351
21839.csv,666,4163,121,448
21948.csv,644,4490,93,405
22883.csv,631,975,1098,379
22526.csv,324,3311,226,897
25465.csv,223,138,1728,435
25480.csv,206,152,2198,507
23099.csv,485,3840,85,445
23821.csv,339,5058,48,659
29571.csv,490,4227,126,435
33588.csv,245,480,1689,549
22457.csv,441,4656,87,623
20268.csv,727,2186,489,677
20319.csv,657,4219,125,478
20604.csv,294,3942,56,683
20673.csv,491,3217,125,684
20696.csv,302,4094,41,603
20702.csv,358,4064,57,536
20775.csv,396,3593,100,401
20790.csv,359,3627,76,587
21070.csv,597,3612,157,373
21095.csv,593,4175,108,472
21101.csv,576,4174,112,409
21176.csv,259,4207,44,491
21588.csv,459,4519,39,523
21634.csv,482,3698,100,403
21643.csv,679,3821,167,408
21732.csv,727,4296,173,455
21745.csv,662,4107,119,397
22058.csv,663,4353,105,411
29580.csv,766,3650,336,381
25500.csv,165,137,2123,391
25494.csv,207,122,2084,435
33115.csv,495,4879,42,552
25471.csv,206,128,2299,534
40934.csv,608,3773,155,332
20226.csv,410,4480,71,529
20320.csv,605,3969,107,481
20415.csv,603,4442,81,462
20462.csv,593,4039,180,390
20487.csv,573,1014,1360,431
20513.csv,524,4555,81,488
20564.csv,560,4765,82,537
20581.csv,623,4116,63,453
20824.csv,257,3647,40,651
20853.csv,405,4436,99,569
20922.csv,621,4106,190,429
20955.csv,552,4859,80,494
21049.csv,613,4027,189,403
21382.csv,621,3912,244,356
21425.csv,588,3926,188,440
21452.csv,679,4188,147,450
21554.csv,631,3928,180,394
21814.csv,698,4877,161,506
21863.csv,490,4317,132,508
21886.csv,461,5029,50,654
21912.csv,604,4824,102,430
21980.csv,363,3743,65,444
22061.csv,553,4251,107,455
22338.csv,472,4082,93,410
21965.csv,641,4650,152,489
20170.csv,651,1315,1101,527
20488.csv,435,986,1341,291
20632.csv,358,4288,44,635
20645.csv,395,564,1536,415
20734.csv,215,3328,84,522
21046.csv,718,3939,292,396
21675.csv,690,4176,126,399
21690.csv,537,3807,90,362
21704.csv,678,3247,236,293
21889.csv,528,4639,90,532
22340.csv,445,4103,103,503
22475.csv,691,4148,148,430
24628.csv,409,3984,55,502
22337.csv,366,4055,147,426
20149.csv,520,4443,102,487
20210.csv,525,965,1324,586
20267.csv,717,2156,478,672
20316.csv,577,4171,87,433
20361.csv,503,4276,59,549
20423.csv,598,4186,93,467
20454.csv,550,4174,117,379
20525.csv,428,3496,124,596
20699.csv,412,3989,61,531
20812.csv,331,3923,49,572
20914.csv,634,4370,104,404
20963.csv,608,4491,88,513
21179.csv,345,3719,65,505
21481.csv,390,4061,112,414
21562.csv,601,4070,113,444
21587.csv,515,4290,44,469
21822.csv,472,4559,77,566
21855.csv,608,4600,95,468
21924.csv,585,4809,111,479
22057.csv,636,4687,85,506
22151.csv,652,3809,186,481
21953.csv,697,4053,90,384
23184.csv,620,3203,169,285
20459.csv,516,3851,143,377
20528.csv,226,3944,66,587
20606.csv,640,2731,170,538
20694.csv,298,3910,78,630
20700.csv,383,4134,57,561
20777.csv,546,3303,109,528
20792.csv,307,4126,51,496
20919.csv,668,4764,127,462
21072.csv,601,3686,236,330
21097.csv,653,4283,87,457
21103.csv,704,4188,122,369
21174.csv,270,4091,73,579
21469.csv,421,4475,65,464
21641.csv,494,4594,39,712
21747.csv,611,4327,146,366
21929.csv,448,3670,209,372
22895.csv,237,305,1979,357
29582.csv,636,3934,213,378
29354.csv,645,4258,131,384
33117.csv,282,290,1752,548
25473.csv,195,162,2303,458
22901.csv,180,253,2083,416
22669.csv,125,232,1662,452
22530.csv,529,4777,58,655
20322.csv,678,4077,95,414
20355.csv,438,3064,151,662
20417.csv,630,4466,99,517
20460.csv,609,3975,132,393
20485.csv,455,778,1522,409
20511.csv,377,4373,46,546
20566.csv,584,4508,80,498
20583.csv,749,4260,93,419
20648.csv,247,459,1407,631
20826.csv,262,3916,54,531
20851.csv,371,4157,54,520
20920.csv,675,4580,149,480
20957.csv,579,4730,100,469
21312.csv,424,4621,43,603
