FITS File,SBID,CRVAL1,CRVAL2
image.i.RACS_0714+23.SB21175.cont.taylor.0.restored.conv.fits,21175,108.571425,23.31840694444
image.i.RACS_0727-14.SB21608.cont.taylor.0.restored.conv.fits,21608,111.8181791667,-14.00890555556
image.i.RACS_0744+46.SB22666.cont.taylor.0.restored.conv.fits,22666,116.25,46.50041027778
image.i.RACS_0748+28.SB20843.cont.taylor.0.restored.conv.fits,20843,117.0,27.96694555556
image.i.RACS_0749-14.SB21609.cont.taylor.0.restored.conv.fits,21609,117.272725,-14.00890555556
image.i.RACS_0752+00.SB21065.cont.taylor.0.restored.conv.fits,21065,118.2089541667,0.0
image.i.RACS_0752+09.SB21407.cont.taylor.0.restored.conv.fits,21407,118.2089541667,9.342486111111
image.i.RACS_0804+32.SB20783.cont.taylor.0.restored.conv.fits,20783,121.0344791667,32.60906666667
image.i.RACS_0804+41.SB20647.cont.taylor.0.restored.conv.fits,20647,121.1538458333,41.87635833333
image.i.RACS_0828-32.SB21665.cont.taylor.0.restored.conv.fits,21665,127.2413791667,-32.61161944444
image.i.RACS_0845-23.SB20586.cont.taylor.0.restored.conv.fits,20586,131.4285708333,-23.32096388889
image.i.RACS_0853+32.SB20720.cont.taylor.0.restored.conv.fits,20720,133.448275,32.60906666667
image.i.RACS_0917-55.SB22462.cont.taylor.0.restored.conv.fits,22462,139.5,-55.72483611111
image.i.RACS_0918-09.SB21746.cont.taylor.0.restored.conv.fits,21746,139.7014916667,-9.34505
image.i.RACS_0936-60.SB22463.cont.taylor.0.restored.conv.fits,22463,144.0,-60.32171388889
image.i.RACS_0940+00.SB21070.cont.taylor.0.restored.conv.fits,21070,145.074625,0.0
image.i.RACS_0941-69.SB22529.cont.taylor.0.restored.conv.fits,22529,145.3846125,-69.47467222222
image.i.RACS_0943-32.SB21670.cont.taylor.0.restored.conv.fits,21670,145.8620666667,-32.61161944444
image.i.RACS_0955-41.SB21969.cont.taylor.0.restored.conv.fits,21969,148.84615,-41.87891111111
image.i.RACS_1018-18.SB21846.cont.taylor.0.restored.conv.fits,21846,154.6875,-18.66772027778
image.i.RACS_1023+00.SB21072.cont.taylor.0.restored.conv.fits,21072,155.8208916667,0.0
image.i.RACS_1021+14.SB20852.cont.taylor.0.restored.conv.fits,20852,155.4545416667,14.00634444444
image.i.RACS_1028+37.SB20656.cont.taylor.0.restored.conv.fits,20656,157.0909083333,37.24593611111
image.i.RACS_1033+32.SB20724.cont.taylor.0.restored.conv.fits,20724,158.2758583333,32.60906666667
image.i.RACS_1036-69.SB22467.cont.taylor.0.restored.conv.fits,22467,159.2307666667,-69.47467222222
image.i.RACS_1046-72.SB22114.cont.taylor.0.restored.conv.fits,22114,161.6600458333,-72.76284444444
image.i.RACS_1103+18.SB20854.cont.taylor.0.restored.conv.fits,20854,165.9375,18.66515833333
image.i.RACS_1105-14.SB21753.cont.taylor.0.restored.conv.fits,21753,166.3636333333,-14.00890555556
image.i.RACS_1143-51.SB21972.cont.taylor.0.restored.conv.fits,21972,175.9090875,-51.11844333333
image.i.RACS_1141-55.SB22049.cont.taylor.0.restored.conv.fits,22049,175.5,-55.72483611111
image.i.RACS_1144-46.SB21921.cont.taylor.0.restored.conv.fits,21921,176.25,-46.50296111111
image.i.RACS_1149-04.SB20858.cont.taylor.0.restored.conv.fits,20858,177.3134291667,-4.676341666667
image.i.RACS_1200-83.SB22468.cont.taylor.0.restored.conv.fits,22468,180.0,-82.99065277778
image.i.RACS_1210+04.SB21078.cont.taylor.0.restored.conv.fits,21078,182.6865666667,4.673775
image.i.RACS_1213+37.SB20303.cont.taylor.0.restored.conv.fits,20303,183.272725,37.24593611111
image.i.RACS_1215+46.SB22678.cont.taylor.0.restored.conv.fits,22678,183.75,46.50041027778
image.i.RACS_1227-69.SB22115.cont.taylor.0.restored.conv.fits,22115,186.923075,-69.47467222222
image.i.RACS_1237+32.SB20354.cont.taylor.0.restored.conv.fits,20354,189.3103416667,32.60906666667
image.i.RACS_1241-41.SB21855.cont.taylor.0.restored.conv.fits,21855,190.3846125,-41.87891111111
image.i.RACS_1249-51.SB21924.cont.taylor.0.restored.conv.fits,21924,192.272725,-51.11844333333
image.i.RACS_1252-78.SB22469.cont.taylor.0.restored.conv.fits,22469,193.0240666667,-78.01179444444
image.i.RACS_1253+04.SB20801.cont.taylor.0.restored.conv.fits,20801,193.4328333333,4.673775
