File Name,Subdirectory,Proportion
crossmatch-result-20265.txt,"20265,",83.75
crossmatch-result-21980.txt,"21980,",95.44
crossmatch-result-21857.txt,"21857,",94.98
crossmatch-result-22061.txt,"22061,",94.79
crossmatch-result-21863.txt,"21863,",94.95
crossmatch-result-23184.txt,"23184,",93.0
crossmatch-result-21690.txt,"21690,",93.2
crossmatch-result-20226.txt,"20226,",95.14
crossmatch-result-20513.txt,"20513,",94.58
crossmatch-result-20417.txt,"20417,",94.09
crossmatch-result-22901.txt,"22901,",83.68
crossmatch-result-33121.txt,"33121,",91.39
crossmatch-result-21816.txt,"21816,",93.8
crossmatch-result-33591.txt,"33591,",85.54
crossmatch-result-22022.txt,"22022,",94.94
crossmatch-result-20583.txt,"20583,",93.62
crossmatch-result-21411.txt,"21411,",94.79
crossmatch-result-22337.txt,"22337,",89.59
crossmatch-result-22669.txt,"22669,",84.92
crossmatch-result-22340.txt,"22340,",95.5
crossmatch-result-20790.txt,"20790,",91.95
crossmatch-result-20792.txt,"20792,",95.73
crossmatch-result-20853.txt,"20853,",94.22
crossmatch-result-21748.txt,"21748,",93.34
crossmatch-result-22342.txt,"22342,",89.45
crossmatch-result-20734.txt,"20734,",92.5
crossmatch-result-22683.txt,"22683,",93.93
crossmatch-result-21926.txt,"21926,",94.19
crossmatch-result-20172.txt,"20172,",89.35
crossmatch-result-20812.txt,"20812,",95.85
crossmatch-result-20314.txt,"20314,",94.19
crossmatch-result-20316.txt,"20316,",94.87
crossmatch-result-21692.txt,"21692,",95.56
crossmatch-result-20320.txt,"20320,",94.41
crossmatch-result-21706.txt,"21706,",94.06
crossmatch-result-20961.txt,"20961,",94.54
crossmatch-result-21587.txt,"21587,",95.66
crossmatch-result-21641.txt,"21641,",94.05
crossmatch-result-20569.txt,"20569,",95.03
crossmatch-result-20462.txt,"20462,",94.47
crossmatch-result-25500.txt,"25500,",87.84
crossmatch-result-21953.txt,"21953,",93.83
crossmatch-result-20648.txt,"20648,",83.37
crossmatch-result-21483.txt,"21483,",94.15
crossmatch-result-25471.txt,"25471,",89.35
crossmatch-result-20210.txt,"20210,",83.93
crossmatch-result-20487.txt,"20487,",82.42
crossmatch-result-20363.txt,"20363,",95.94
crossmatch-result-21382.txt,"21382,",93.93
crossmatch-result-21886.txt,"21886,",95.66
crossmatch-result-20957.txt,"20957,",93.86
crossmatch-result-20955.txt,"20955,",94.25
crossmatch-result-21709.txt,"21709,",94.06
crossmatch-result-21533.txt,"21533,",95.16
crossmatch-result-21598.txt,"21598,",94.72
crossmatch-result-20535.txt,"20535,",89.07
crossmatch-result-22467.txt,"22467,",93.43
crossmatch-result-22032.txt,"22032,",94.77
crossmatch-result-21832.txt,"21832,",93.45
crossmatch-result-21665.txt,"21665,",94.15
crossmatch-result-22030.txt,"22030,",94.47
crossmatch-result-22325.txt,"22325,",95.98
crossmatch-result-22327.txt,"22327,",95.25
crossmatch-result-20712.txt,"20712,",74.26
crossmatch-result-20843.txt,"20843,",93.01
crossmatch-result-20839.txt,"20839,",93.22
crossmatch-result-22328.txt,"22328,",94.62
crossmatch-result-22468.txt,"22468,",91.2
crossmatch-result-20724.txt,"20724,",91.14
crossmatch-result-25703.txt,"25703,",84.69
crossmatch-result-20753.txt,"20753,",94.67
crossmatch-result-20620.txt,"20620,",91.03
crossmatch-result-21378.txt,"21378,",93.46
crossmatch-result-21299.txt,"21299,",94.17
crossmatch-result-21437.txt,"21437,",93.71
crossmatch-result-21902.txt,"21902,",93.83
crossmatch-result-21440.txt,"21440,",93.19
crossmatch-result-20431.txt,"20431,",94.5
crossmatch-result-20947.txt,"20947,",93.73
crossmatch-result-21668.txt,"21668,",93.88
crossmatch-result-22047.txt,"22047,",96.23
crossmatch-result-21294.txt,"21294,",94.69
crossmatch-result-25461.txt,"25461,",88.2
crossmatch-result-20657.txt,"20657,",87.46
crossmatch-result-23171.txt,"23171,",94.22
crossmatch-result-41212.txt,"41212,",92.96
crossmatch-result-40980.txt,"40980,",93.94
crossmatch-result-41511.txt,"41511,",92.78
crossmatch-result-21682.txt,"21682,",94.01
crossmatch-result-20537.txt,"20537,",90.99
crossmatch-result-20396.txt,"20396,",94.22
crossmatch-result-22563.txt,"22563,",92.65
crossmatch-result-20405.txt,"20405,",91.62
crossmatch-result-22818.txt,"22818,",84.9
crossmatch-result-21442.txt,"21442,",94.59
crossmatch-result-20751.txt,"20751,",94.09
crossmatch-result-21941.txt,"21941,",92.01
crossmatch-result-21809.txt,"21809,",90.45
crossmatch-result-20330.txt,"20330,",95.02
crossmatch-result-20619.txt,"20619,",91.46
crossmatch-result-20689.txt,"20689,",93.47
crossmatch-result-20292.txt,"20292,",87.44
crossmatch-result-20472.txt,"20472,",93.76
crossmatch-result-21894.txt,"21894,",95.36
crossmatch-result-21152.txt,"21152,",94.65
crossmatch-result-20290.txt,"20290,",88.42
crossmatch-result-21899.txt,"21899,",93.57
crossmatch-result-25458.txt,"25458,",86.41
crossmatch-result-21401.txt,"21401,",94.24
crossmatch-result-22522.txt,"22522,",93.01
crossmatch-result-20782.txt,"20782,",88.45
crossmatch-result-20655.txt,"20655,",87.35
crossmatch-result-20593.txt,"20593,",85.8
crossmatch-result-21491.txt,"21491,",94.08
crossmatch-result-21975.txt,"21975,",94.65
crossmatch-result-21680.txt,"21680,",93.74
crossmatch-result-40926.txt,"40926,",93.48
crossmatch-result-33423.txt,"33423,",92.44
crossmatch-result-21978.txt,"21978,",93.3
crossmatch-result-21977.txt,"21977,",95.62
crossmatch-result-20306.txt,"20306,",87.68
crossmatch-result-24691.txt,"24691,",94.39
crossmatch-result-22178.txt,"22178,",90.91
crossmatch-result-21508.txt,"21508,",91.03
crossmatch-result-21435.txt,"21435,",89.7
crossmatch-result-33105.txt,"33105,",92.25
crossmatch-result-20275.txt,"20275,",95.31
crossmatch-result-21806.txt,"21806,",95.0
crossmatch-result-20686.txt,"20686,",93.78
crossmatch-result-20836.txt,"20836,",95.55
crossmatch-result-20497.txt,"20497,",91.65
crossmatch-result-20498.txt,"20498,",93.55
crossmatch-result-21595.txt,"21595,",96.14
crossmatch-result-20470.txt,"20470,",94.48
crossmatch-result-21830.txt,"21830,",94.64
crossmatch-result-21900.txt,"21900,",93.58
crossmatch-result-20574.txt,"20574,",94.17
crossmatch-result-20780.txt,"20780,",92.18
crossmatch-result-21181.txt,"21181,",94.83
crossmatch-result-21479.txt,"21479,",95.5
crossmatch-result-21755.txt,"21755,",94.67
crossmatch-result-20433.txt,"20433,",92.55
crossmatch-result-23104.txt,"23104,",93.57
crossmatch-result-23866.txt,"23866,",90.88
crossmatch-result-20663.txt,"20663,",90.01
crossmatch-result-20945.txt,"20945,",94.75
crossmatch-result-23828.txt,"23828,",95.74
crossmatch-result-20540.txt,"20540,",89.04
crossmatch-result-21871.txt,"21871,",93.31
crossmatch-result-21629.txt,"21629,",93.09
crossmatch-result-20449.txt,"20449,",93.56
crossmatch-result-20408.txt,"20408,",95.05
crossmatch-result-21088.txt,"21088,",95.95
