component_id,Content
match_ratio_SB_22149.txt,Matched A sources / Total A sources: 2661 / 3366 = 79.06%
match_ratio_SB_21931.txt,Matched A sources / Total A sources: 2402 / 2984 = 80.50%
match_ratio_SB_21764.txt,Matched A sources / Total A sources: 2660 / 3376 = 78.79%
match_ratio_SB_21933.txt,Matched A sources / Total A sources: 2512 / 3062 = 82.04%
match_ratio_SB_21995.txt,Matched A sources / Total A sources: 2279 / 2782 = 81.92%
match_ratio_SB_22488.txt,Matched A sources / Total A sources: 2701 / 3460 = 78.06%
match_ratio_SB_21372.txt,Matched A sources / Total A sources: 2833 / 3441 = 82.33%
match_ratio_SB_20897.txt,Matched A sources / Total A sources: 2925 / 3477 = 84.12%
match_ratio_SB_21155.txt,Matched A sources / Total A sources: 2568 / 3195 = 80.38%
match_ratio_SB_20297.txt,Matched A sources / Total A sources: 2708 / 3348 = 80.88%
match_ratio_SB_21541.txt,Matched A sources / Total A sources: 2302 / 2935 = 78.43%
match_ratio_SB_21293.txt,Matched A sources / Total A sources: 2675 / 3143 = 85.11%
match_ratio_SB_21838.txt,Matched A sources / Total A sources: 2734 / 3488 = 78.38%
match_ratio_SB_20721.txt,Matched A sources / Total A sources: 2627 / 3346 = 78.51%
match_ratio_SB_21080.txt,Matched A sources / Total A sources: 2389 / 3039 = 78.61%
match_ratio_SB_20599.txt,Matched A sources / Total A sources: 2680 / 3181 = 84.25%
match_ratio_SB_21685.txt,Matched A sources / Total A sources: 2781 / 3479 = 79.94%
match_ratio_SB_20436.txt,Matched A sources / Total A sources: 2869 / 3344 = 85.80%
match_ratio_SB_20402.txt,Matched A sources / Total A sources: 2919 / 3499 = 83.42%
match_ratio_SB_21876.txt,Matched A sources / Total A sources: 2418 / 3078 = 78.56%
match_ratio_SB_20898.txt,Matched A sources / Total A sources: 3024 / 3591 = 84.21%
match_ratio_SB_21891.txt,Matched A sources / Total A sources: 3162 / 3704 = 85.37%
match_ratio_SB_21654.txt,Matched A sources / Total A sources: 2633 / 3263 = 80.69%
match_ratio_SB_21404.txt,Matched A sources / Total A sources: 2517 / 2964 = 84.92%
match_ratio_SB_22456.txt,Matched A sources / Total A sources: 2832 / 3517 = 80.52%
match_ratio_SB_22462.txt,Matched A sources / Total A sources: 2773 / 3439 = 80.63%
match_ratio_SB_20788.txt,Matched A sources / Total A sources: 2763 / 3408 = 81.07%
match_ratio_SB_21750.txt,Matched A sources / Total A sources: 2781 / 3458 = 80.42%
match_ratio_SB_21752.txt,Matched A sources / Total A sources: 2704 / 3524 = 76.73%
match_ratio_SB_20303.txt,Matched A sources / Total A sources: 2242 / 3212 = 69.80%
match_ratio_SB_21494.txt,Matched A sources / Total A sources: 2792 / 3567 = 78.27%
match_ratio_SB_20391.txt,Matched A sources / Total A sources: 2741 / 3358 = 81.63%
match_ratio_SB_20530.txt,Matched A sources / Total A sources: 2692 / 3232 = 83.29%
match_ratio_SB_20167.txt,Matched A sources / Total A sources: 467 / 2989 = 15.62%
match_ratio_SB_20478.txt,Matched A sources / Total A sources: 2451 / 3228 = 75.93%
match_ratio_SB_21502.txt,Matched A sources / Total A sources: 2889 / 3651 = 79.13%
match_ratio_SB_24632.txt,Matched A sources / Total A sources: 2728 / 3347 = 81.51%
match_ratio_SB_20669.txt,Matched A sources / Total A sources: 2104 / 3157 = 66.65%
match_ratio_SB_20443.txt,Matched A sources / Total A sources: 2792 / 3385 = 82.48%
match_ratio_SB_22487.txt,Matched A sources / Total A sources: 2675 / 3463 = 77.25%
match_ratio_SB_20754.txt,Matched A sources / Total A sources: 2517 / 2966 = 84.86%
match_ratio_SB_21879.txt,Matched A sources / Total A sources: 3111 / 3722 = 83.58%
match_ratio_SB_20756.txt,Matched A sources / Total A sources: 2666 / 3185 = 83.70%
match_ratio_SB_20760.txt,Matched A sources / Total A sources: 2669 / 3174 = 84.09%
match_ratio_SB_20628.txt,Matched A sources / Total A sources: 2685 / 3194 = 84.06%
match_ratio_SB_22648.txt,Matched A sources / Total A sources: 436 / 2882 = 15.13%
match_ratio_SB_21592.txt,Matched A sources / Total A sources: 3059 / 3673 = 83.28%
match_ratio_SB_20342.txt,Matched A sources / Total A sources: 2656 / 3417 = 77.73%
match_ratio_SB_21946.txt,Matched A sources / Total A sources: 2949 / 3484 = 84.64%
match_ratio_SB_21893.txt,Matched A sources / Total A sources: 3013 / 3648 = 82.59%
match_ratio_SB_20715.txt,Matched A sources / Total A sources: 2301 / 3293 = 69.88%
match_ratio_SB_21473.txt,Matched A sources / Total A sources: 2621 / 3214 = 81.55%
match_ratio_SB_21835.txt,Matched A sources / Total A sources: 2846 / 3508 = 81.13%
match_ratio_SB_22037.txt,Matched A sources / Total A sources: 2867 / 3494 = 82.05%
match_ratio_SB_21065.txt,Matched A sources / Total A sources: 2506 / 3152 = 79.51%
match_ratio_SB_21837.txt,Matched A sources / Total A sources: 2866 / 3652 = 78.48%
match_ratio_SB_20846.txt,Matched A sources / Total A sources: 2871 / 3397 = 84.52%
match_ratio_SB_22459.txt,Matched A sources / Total A sources: 2995 / 3601 = 83.17%
match_ratio_SB_22609.txt,Matched A sources / Total A sources: 1923 / 2330 = 82.53%
match_ratio_SB_21972.txt,Matched A sources / Total A sources: 2872 / 3498 = 82.10%
match_ratio_SB_21500.txt,Matched A sources / Total A sources: 2899 / 3712 = 78.10%
match_ratio_SB_20532.txt,Matched A sources / Total A sources: 2427 / 3019 = 80.39%
match_ratio_SB_29339.txt,Matched A sources / Total A sources: 2528 / 3203 = 78.93%
match_ratio_SB_21432.txt,Matched A sources / Total A sources: 3037 / 3566 = 85.17%
match_ratio_SB_21621.txt,Matched A sources / Total A sources: 2719 / 3240 = 83.92%
match_ratio_SB_25704.txt,Matched A sources / Total A sources: 298 / 2798 = 10.65%
match_ratio_SB_21623.txt,Matched A sources / Total A sources: 2684 / 3183 = 84.32%
match_ratio_SB_20613.txt,Matched A sources / Total A sources: 1677 / 2477 = 67.70%
match_ratio_SB_22485.txt,Matched A sources / Total A sources: 2387 / 3072 = 77.70%
match_ratio_SB_21447.txt,Matched A sources / Total A sources: 2700 / 3248 = 83.13%
match_ratio_SB_20298.txt,Matched A sources / Total A sources: 1986 / 3210 = 61.87%
match_ratio_SB_21397.txt,Matched A sources / Total A sources: 2831 / 3333 = 84.94%
match_ratio_SB_21067.txt,Matched A sources / Total A sources: 2611 / 3280 = 79.60%
match_ratio_SB_21840.txt,Matched A sources / Total A sources: 2791 / 3504 = 79.65%
match_ratio_SB_20785.txt,Matched A sources / Total A sources: 2753 / 3318 = 82.97%
match_ratio_SB_20650.txt,Matched A sources / Total A sources: 1305 / 3068 = 42.54%
match_ratio_SB_20652.txt,Matched A sources / Total A sources: 1203 / 3001 = 40.09%
match_ratio_SB_20596.txt,Matched A sources / Total A sources: 2658 / 3264 = 81.43%
match_ratio_SB_20165.txt,Matched A sources / Total A sources: 538 / 2922 = 18.41%
match_ratio_SB_21496.txt,Matched A sources / Total A sources: 2936 / 3702 = 79.31%
match_ratio_SB_29341.txt,Matched A sources / Total A sources: 2481 / 3211 = 77.27%
match_ratio_SB_20808.txt,Matched A sources / Total A sources: 2625 / 3167 = 82.89%
match_ratio_SB_20666.txt,Matched A sources / Total A sources: 2704 / 3197 = 84.58%
match_ratio_SB_21617.txt,Matched A sources / Total A sources: 2797 / 3306 = 84.60%
match_ratio_SB_22355.txt,Matched A sources / Total A sources: 2731 / 3380 = 80.80%
match_ratio_SB_33102.txt,Matched A sources / Total A sources: 2708 / 3507 = 77.22%
match_ratio_SB_20509.txt,Matched A sources / Total A sources: 2797 / 3421 = 81.76%
match_ratio_SB_20400.txt,Matched A sources / Total A sources: 2992 / 3575 = 83.69%
match_ratio_SB_21766.txt,Matched A sources / Total A sources: 2043 / 2844 = 71.84%
match_ratio_SB_20611.txt,Matched A sources / Total A sources: 1126 / 2845 = 39.58%
match_ratio_SB_20901.txt,Matched A sources / Total A sources: 2942 / 3654 = 80.51%
match_ratio_SB_29572.txt,Matched A sources / Total A sources: 2607 / 3102 = 84.04%
