Subdirectory,Proportion_interniamge,Proportion_resnet
20581,97.85,94.87
20582,97.75,94.66
20583,96.95,93.62
20584,98.41,94
20585,97.89,95.12
20586,97.07,94.36
20587,97.76,94.26
20588,98.04,94.56
20589,97.65,94.58
20590,97.78,94.82
20592,96.11,83.03
20593,96.68,85.8
20594,96.96,87.19
20595,97.14,88.4
20596,97.09,93.45
20597,96.77,93.93
20598,97.62,95.46
20599,97.17,94.74
20600,97.87,95.21
20601,96.69,93.93
20602,98.06,95.54
20603,97.67,93.77
20604,98.01,94.05
20605,97.35,92.81
20606,97.76,91.25
20607,97.38,92.44
20608,97.72,93.77
20610,96.03,83.04
20611,96.13,85.08
20612,95.95,86.43
20613,97.57,88.67
20614,96.7,87.4
20615,96.99,88.52
20616,96.45,87.48
20617,97.65,94.92
20619,97.19,91.46
20620,96.9,91.03
20621,97.67,92.08
20622,96.94,91.2
20623,97.07,91.07
20624,97.42,92.12
20625,97.92,93.6
20627,96.19,92.95
20628,98.31,95.86
20629,98.21,95.65
20630,97.84,95.09
20631,98.06,95.31
20632,97.91,94.88
20633,98.49,95.62
20634,97.16,94.27
20635,97.68,95.01
20636,97.58,94.84
20637,96.79,94.38
20638,97.55,94.94
20639,95.48,84.43
20640,95.51,84.32
20641,95.49,83.68
20642,94.63,83.21
20643,96.54,87.55
20645,96.19,84.2
20646,94.91,83.64
20647,95.72,84.21
20648,96.25,83.37
20649,95.04,83.53
20650,95.63,85.1
20651,95.26,84.68
20652,95.18,83.54
20653,96.9,87.48
20654,95.72,85.96
20655,96.7,87.35
20656,96.75,87.84
20657,97,87.46
20658,97.15,90.56
20659,96.87,85.94
20660,97.27,92.45
20661,98.1,95.26
20662,97.14,92.56
20663,96.17,90.01
20664,96.46,90.76
20665,98.58,92.7
20666,98.4,95.58
20667,97.31,93.64
20668,97.06,92.96
20669,97.53,88.57
20673,97.79,92.91
20674,97.57,93.71
20675,97.4,92.36
20676,96.62,87.88
20677,97.08,88.95
20678,96.54,89.19
20679,96.05,90.41
20680,96.54,91.8
20681,97.34,91.42
20682,96.16,89.86
20683,97.08,92.27
20684,96.37,90.39
20685,96.54,91.13
20686,97.6,93.78
20687,97.74,93.66
20688,97.18,93.48
20689,97.76,93.47
20690,94.32,89.23
20691,97.19,94.71
20692,96.99,93.34
20693,97.8,94.47
20694,97.41,94.08
20695,97.17,94.5
20696,97.18,94.5
20697,97.5,95.03
20698,97.38,94.79
20699,97.27,94.53
20700,96.87,94.43
20701,97.98,94.94
20702,95.39,93.19
20703,98.07,95.06
20704,98.01,96.05
20705,97.91,95.35
20706,96.72,94.6
20707,97.64,94.81
20708,97.88,95.13
20709,97.56,94.88
20710,97.29,94.66
20711,97.66,94.6
20712,78.4,74.26
20713,97.22,92.6
20714,97.43,92.11
20715,97.35,88.94
20716,97.12,87.46
20717,96.32,88.95
20718,96.13,87.77
20719,96.91,88.53
20720,97.61,91.55
20721,97.06,91.14
20722,97.63,91.92
20723,96.26,90.47
20724,96.66,91.14
20725,96.86,90.67
20726,97.82,92.78
20727,97.08,92.82
20728,96.52,91.37
20729,96.95,92.99
20730,97.26,94.45
20731,97.69,95.08
20732,97.72,94.06
20733,97.66,94.77
20734,97.28,92.5
20735,97.88,95.07
20736,97.29,94.08
20737,98.29,95.65
20738,98.19,94.78
20744,97.59,93.93
20745,97.77,94.45
20746,97.57,93.57
20747,97.21,91.87
20748,96.35,89.35
20750,97.65,94.74
20751,97.35,94.09
20752,97.43,92.82
20753,97.56,94.67
20754,98.01,96.02
20755,98.12,95.46
20756,97.39,94.38
20757,97.98,95.76
20758,96.94,94.33
20759,95.96,92.27
20760,97.57,94.61
20761,98.53,96.26
20762,97.52,94.35
20763,98.31,96.11
20764,98.25,95.41
20765,98.02,95.51
20766,97.06,94.04
20767,98.23,95.89
20768,97.26,94.61
20769,98.98,96.8
20770,96.99,94.45
20771,97.26,94.2
20772,97.13,94.45
20773,97.55,95.36
20774,98.39,95.92
20775,98.18,95.76
20776,78.56,71.51
20777,97.39,92.78
20778,96.61,90.23
20779,97.18,91.08
20780,96.67,92.18
20781,97.09,90.73
20782,96.04,88.45
20783,96.12,89.59
20784,97.23,91.2
20785,96.86,92.58
20786,96.93,92.08
20787,97.27,92.65
20788,96.65,90.52
20789,97.85,94.27
20790,96.41,91.95
20791,96.8,92.22
20792,98.69,95.73
20793,95.92,93.21
20794,96.45,93.46
20795,98.08,95.54
20796,97.82,95.24
20797,98.16,95.49
20798,98.32,95.7
20799,98.06,94.86
20800,94.61,89.13
20801,97.85,94.61
20802,97.89,94.17
20804,98.16,95.62
20805,97.43,94.76
20806,96.78,93.7
20807,97.18,94.19
20808,97.13,94.05
20809,98.15,95.72
20810,97.36,94.11
20811,95.44,92.54
20812,98.19,95.85
20813,97.11,94.64
20814,97.76,95.83
20815,97.46,94.88
20816,96.71,93.71
20817,96.01,91.82
