Subdirectory,Proportion_interniamge,Proportion_resnet
22328,97.85,94.62
22329,98.34,95.46
22330,98.1,96.12
22331,98.28,96.1
22332,98.56,96.56
22333,98.36,95.97
22334,98.34,96.61
22335,96.84,94.68
22336,93.9,88.95
22337,95.63,89.59
22338,97.86,94.36
22339,97.78,95.03
22340,97.87,95.5
22341,95.19,90.17
22342,94.5,89.45
22343,95.82,91.33
22344,96.78,92.67
22345,97.15,93.54
22346,96.39,92.35
22347,95.76,91.46
22348,96.52,92.79
22349,97.73,95.73
22350,97.6,94.07
22351,98.14,95.69
22353,94.46,88.76
22354,97.89,94.11
22355,97.84,94.2
22356,97.33,92.86
22444,98.06,92.05
22445,94.54,91.55
22449,96.24,93.25
22450,95.48,92.89
22451,95.95,93.09
22452,97.44,94.59
22453,95.75,93.15
22454,97.58,94.7
22455,97.7,94.83
22456,97.61,94.45
22457,94.28,90.99
22458,97.53,95.23
22459,95.47,92.41
22460,96.57,94.73
22461,95.46,91.05
22462,95.52,92.76
22463,96.13,93.17
22464,95.16,92.42
22465,97.26,94.03
22466,96,93.75
22467,95.44,93.43
22468,97.39,91.2
22469,97.42,94.14
22470,97.47,94.99
22471,96.15,93.16
22472,95.32,91.49
22473,96.33,92.39
22474,95.53,92.19
22475,97.59,95.07
22477,96.17,91.17
22478,98.07,91.58
22479,97.01,92.84
22480,97.26,92.38
22481,95.89,92.22
22482,87.07,81.59
22483,95.61,91.4
22484,97.19,92.87
22485,97.52,93.14
22486,97.44,93.73
22487,97.37,92.99
22488,95.76,91.25
22517,94.12,89.35
22520,88.66,85.52
22521,93.89,91.39
22522,95.82,93.01
22523,91.54,87.98
22524,92.89,90.05
22525,94.58,91.85
22526,97.33,90.98
22529,92.45,89.87
22530,94.6,91.98
22562,96.13,91.9
22563,96.87,92.65
22564,95.45,91.52
22565,96.95,91.84
22566,96.67,92.43
22598,97.28,93.35
22609,97.73,95.7
22610,98.17,95.34
22615,98.69,85.84
22634,93.38,85.92
22635,98.78,91.95
22648,94.76,81.73
22649,95.64,84.06
22654,95.05,84.72
22659,95.42,84.64
22660,95.55,84.11
22661,95.97,85.38
22662,96.28,85.71
22665,95.83,84.74
22666,95.88,84.08
22667,95.84,86.71
22668,95.5,85.09
22669,94.9,84.92
22672,94.99,85.63
22673,96.68,86.95
22674,95.8,84.91
22675,95.3,86.04
22678,95.45,86.14
22679,95.27,85.27
22682,97.91,94.55
22683,97.69,93.93
22684,97.19,93.07
22685,98.56,94.22
22818,95.21,84.9
22819,95.76,86.49
22820,96.02,84.91
22821,95.78,85.65
22839,92.93,83.08
22874,98.34,94.12
22875,96.99,92.69
22876,98.23,94.39
22877,97.63,93.68
22878,97.55,93.57
22880,97.3,94.34
22881,98.75,94.75
22882,94.29,85.13
22883,94.16,85.19
22884,98.34,94.27
22885,93.78,85.38
22886,92.61,85.63
22895,94.25,85.23
22896,94.88,88.2
22899,94.02,86.7
22900,93.99,83.75
22901,92.65,83.68
22971,94.69,90.53
23099,97.32,92.29
23100,97.62,92.59
23101,97.59,93.93
23104,98.5,93.57
23171,98.39,94.22
23172,97.51,93.49
23173,98.18,94
23175,97.85,93.29
23177,97.32,92.22
23178,98.08,91.98
23179,98.52,94.39
23180,97.53,93.14
23181,98.04,93.25
23182,98.51,93.52
23183,98.17,94.44
23184,97.44,93
23185,97.67,92.82
23371,98.24,95.14
23538,96.94,92.08
23821,97.61,94.78
23822,98.1,95.71
23824,97.36,95.32
23825,97.93,94.88
23826,98.23,94.84
23827,98.55,94.86
23828,98.78,95.74
23861,97.12,92.38
23862,90.96,85.9
23863,95.93,93.7
23864,89.47,84.49
23865,97.66,93.77
23866,95.39,90.88
23867,97.01,92.16
23868,97.73,93.9
23869,96.19,92.06
23870,97.05,93.63
23871,95.87,91.93
23921,97.66,93.73
23925,95.78,91.91
24028,98.03,94.06
24554,98.31,95.19
24628,98.61,95.83
24629,99.17,95.2
24630,98.42,95.31
24631,97.26,92.18
24632,98.86,95.15
24633,98.46,93.82
24691,98.19,94.39
25440,93.96,87.88
25441,93.82,91.47
25442,94.42,85.61
25443,93.76,85.83
25444,94.26,87.16
25445,94.29,86.72
25446,94.81,89.94
25451,93.01,88.27
25452,95.93,92.6
25453,94.84,89.96
25458,94.28,86.41
25459,94.88,86.73
25460,95.24,88.13
25461,92.77,88.2
25462,94.27,88.84
25465,94.16,85.75
25466,93.05,86.98
25467,93.62,87.51
25468,93.92,90.82
25471,93.45,89.35
25472,94.26,86.16
25473,93.85,89.46
25474,93.28,89.86
25477,94.07,86.93
25478,93.72,87.15
25479,92.89,85.96
25480,93.69,90.23
25485,93.52,88.22
25486,79.19,81.69
25487,93.48,86.41
25488,94.73,89.72
25491,93.38,87.06
25493,93.65,87.6
25494,94.4,89.15
25497,93.93,85.06
25498,94.17,86.92
25499,93.6,86.55
25500,93.1,87.84
25655,94.31,84.37
25702,94.37,85.43
25703,93.62,84.69
25704,93.08,87.14
25707,94.23,84.13
25870,94.78,86.12
25871,94.67,86.42
25872,95.1,89.68
29328,97.89,95.98
29329,97.7,95.54
29330,92.41,88
29339,97.97,93.72
29340,97.08,93.05
29341,97.5,94.05
29344,97.87,94.61
29354,98.59,95.41
29379,98.11,95.29
29380,98.61,95.56
29381,97.72,94.44
29382,96.89,93.12
29383,97.63,94.09
29427,97.93,95.75
29442,98.56,95.38
29571,98.05,96.21
29572,98.29,96.16
29573,97.84,95.63
29574,97.32,93.9
29575,98.71,95.66
29576,98.14,95.26
29577,98.03,94.54
29578,97.63,94.1
29579,97.13,94.7
29580,97.49,92.86
29581,97.92,94.47
29582,98.79,95.49
29583,98.21,95.64
29584,98.4,95.52
33088,95.12,88.19
33090,96.56,87.61
33098,97.98,94.19
33102,96.51,92.48
33105,96.22,92.25
33114,97.58,94.44
33115,97.32,95.03
33117,92.47,82.44
33120,96.19,93.94
33121,95.47,91.39
33326,97.64,94.24
33330,97.9,94.38
33333,96.69,93.79
33334,98.24,95.87
33363,99.28,96.33
33404,97.76,94.57
33405,96.57,94.09
33416,96.83,94.27
33423,96.35,92.44
33588,95.74,82.91
33590,95.81,84.14
33591,95.6,85.54
33644,98.06,95.21
37723,97.47,95.42
37725,98.24,95.65
37889,97.06,95.07
37897,97.89,96.23
37898,98.19,94.83
40925,97.74,94.52
40926,97.44,93.48
40927,98.11,94.58
40928,98.41,94.68
40929,98.49,95.51
40932,97.87,95.36
40933,98.4,95.16
40934,96.42,92.7
40935,95.66,91.76
40979,98.13,94.03
40980,97.81,93.94
40982,98.17,94.67
40983,98.19,95.01
40997,97.56,94.97
41092,97.28,92.49
41135,98.7,95.44
41212,96.71,92.96
41287,95.58,91.14
41469,96.85,91.74
41507,98.25,94.27
41508,98.68,95.11
41509,98.31,94.16
41510,97.28,93.7
41511,97,92.78
41554,98.46,94.24
