component_id,Content
match_ratio_SB_22149.txt,Matched A sources / Total A sources: 2944 / 3366 = 87.46%
match_ratio_SB_21931.txt,Matched A sources / Total A sources: 2614 / 2984 = 87.60%
match_ratio_SB_21764.txt,Matched A sources / Total A sources: 2934 / 3376 = 86.91%
match_ratio_SB_21933.txt,Matched A sources / Total A sources: 2674 / 3062 = 87.33%
match_ratio_SB_21995.txt,Matched A sources / Total A sources: 2466 / 2782 = 88.64%
match_ratio_SB_22488.txt,Matched A sources / Total A sources: 2987 / 3460 = 86.33%
match_ratio_SB_21372.txt,Matched A sources / Total A sources: 3069 / 3441 = 89.19%
match_ratio_SB_20897.txt,Matched A sources / Total A sources: 3136 / 3477 = 90.19%
match_ratio_SB_21155.txt,Matched A sources / Total A sources: 2778 / 3195 = 86.95%
match_ratio_SB_20297.txt,Matched A sources / Total A sources: 3062 / 3348 = 91.46%
match_ratio_SB_21541.txt,Matched A sources / Total A sources: 2500 / 2935 = 85.18%
match_ratio_SB_21293.txt,Matched A sources / Total A sources: 2865 / 3143 = 91.15%
match_ratio_SB_21838.txt,Matched A sources / Total A sources: 3009 / 3488 = 86.27%
match_ratio_SB_20721.txt,Matched A sources / Total A sources: 3020 / 3346 = 90.26%
match_ratio_SB_21080.txt,Matched A sources / Total A sources: 2604 / 3039 = 85.69%
match_ratio_SB_20599.txt,Matched A sources / Total A sources: 2894 / 3181 = 90.98%
match_ratio_SB_21685.txt,Matched A sources / Total A sources: 3058 / 3479 = 87.90%
match_ratio_SB_20436.txt,Matched A sources / Total A sources: 3074 / 3344 = 91.93%
match_ratio_SB_20402.txt,Matched A sources / Total A sources: 3124 / 3499 = 89.28%
match_ratio_SB_21876.txt,Matched A sources / Total A sources: 2608 / 3078 = 84.73%
match_ratio_SB_20898.txt,Matched A sources / Total A sources: 3231 / 3591 = 89.97%
match_ratio_SB_21891.txt,Matched A sources / Total A sources: 3359 / 3704 = 90.69%
match_ratio_SB_21654.txt,Matched A sources / Total A sources: 2896 / 3263 = 88.75%
match_ratio_SB_21404.txt,Matched A sources / Total A sources: 2670 / 2964 = 90.08%
match_ratio_SB_22456.txt,Matched A sources / Total A sources: 3117 / 3517 = 88.63%
match_ratio_SB_22462.txt,Matched A sources / Total A sources: 3005 / 3439 = 87.38%
match_ratio_SB_20788.txt,Matched A sources / Total A sources: 3086 / 3408 = 90.55%
match_ratio_SB_21750.txt,Matched A sources / Total A sources: 3065 / 3458 = 88.64%
match_ratio_SB_21752.txt,Matched A sources / Total A sources: 3010 / 3524 = 85.41%
match_ratio_SB_20303.txt,Matched A sources / Total A sources: 2909 / 3212 = 90.57%
match_ratio_SB_21494.txt,Matched A sources / Total A sources: 3095 / 3567 = 86.77%
match_ratio_SB_20391.txt,Matched A sources / Total A sources: 3073 / 3358 = 91.51%
match_ratio_SB_20530.txt,Matched A sources / Total A sources: 2972 / 3232 = 91.96%
match_ratio_SB_20167.txt,Matched A sources / Total A sources: 1545 / 2989 = 51.69%
match_ratio_SB_20478.txt,Matched A sources / Total A sources: 2929 / 3228 = 90.74%
match_ratio_SB_21502.txt,Matched A sources / Total A sources: 3156 / 3651 = 86.44%
match_ratio_SB_24632.txt,Matched A sources / Total A sources: 3066 / 3347 = 91.60%
match_ratio_SB_20669.txt,Matched A sources / Total A sources: 2868 / 3157 = 90.85%
match_ratio_SB_20443.txt,Matched A sources / Total A sources: 3045 / 3385 = 89.96%
match_ratio_SB_22487.txt,Matched A sources / Total A sources: 2996 / 3463 = 86.51%
match_ratio_SB_20754.txt,Matched A sources / Total A sources: 2720 / 2966 = 91.71%
match_ratio_SB_21879.txt,Matched A sources / Total A sources: 3344 / 3722 = 89.84%
match_ratio_SB_20756.txt,Matched A sources / Total A sources: 2896 / 3185 = 90.93%
